codigo,nombre,distrito,provincia,departamento,latitud,longitud,altitud_m,banda_altitud,banda_descripcion
2806,LA NOVIA,TAHUAMANU,TAHUAMANU,MADRE DE DIOS,-11.8671856,-69.13774377,265.0,Banda 1,0–2499 m s. n. m.
2807,SANTA MARIA,TAHUAMANU,TAHUAMANU,MADRE DE DIOS,-11.89472628,-69.00601556,245.0,Banda 1,0–2499 m s. n. m.
2808,P.S. CAMBRUNE,CARUMAS,MARISCAL NIETO,MOQUEGUA,-16.82438155,-70.67862772,3213.0,Banda 2,2500–3599 m s. n. m.
2809,CENTRO DE SALUD CARUMAS,CARUMAS,MARISCAL NIETO,MOQUEGUA,-16.81242676,-70.69178992,3074.0,Banda 2,2500–3599 m s. n. m.
2811,P.S. SACUAYA,CUCHUMBAYA,MARISCAL NIETO,MOQUEGUA,-16.75967301,-70.71432843,2986.0,Banda 2,2500–3599 m s. n. m.
4076,SOCORRO,PAMPAS,TAYACAJA,HUANCAVELICA,-12.48331561,-74.85139858,3308.0,Banda 2,2500–3599 m s. n. m.
4078,DOS DE MAYO,ACRAQUIA,TAYACAJA,HUANCAVELICA,-12.39174949,-74.930706,3296.0,Banda 2,2500–3599 m s. n. m.
4080,AHUAYCHA,AHUAYCHA,TAYACAJA,HUANCAVELICA,-12.40385032,-74.89153722,3248.0,Banda 2,2500–3599 m s. n. m.
3250,HUAYLLAHUECO,PLATERIA,PUNO,PUNO,-16.060205,-69.87190833,3886.0,Banda 3,3600–4500 m s. n. m.
3252,4 DE NOVIEMBRE,PUNO,PUNO,PUNO,-15.82486667,-70.02903167,3904.0,Banda 3,3600–4500 m s. n. m.
3255,VALLECITO,PUNO,PUNO,PUNO,-15.82941167,-70.020545,3823.0,Banda 3,3600–4500 m s. n. m.
3257,HABITH HUMANITY,PUNO,PUNO,PUNO,-15.82056667,-70.05205833,4061.0,Banda 3,3600–4500 m s. n. m.
3372,PACHACUTEC,PACHACUTEC,ICA,ICA,-14.15234667,-75.69114333,409.0,Banda 1,0–2499 m s. n. m.
3373,C.S SANTIAGO,SANTIAGO,ICA,ICA,-14.19293,-75.71266,377.0,Banda 1,0–2499 m s. n. m.
3376,CACHICHE,ICA,ICA,ICA,-14.09478333,-75.73608833,401.0,Banda 1,0–2499 m s. n. m.
3377,EL HUARANGO,ICA,ICA,ICA,-14.07999167,-75.76977667,431.0,Banda 1,0–2499 m s. n. m.
3379,ARRABALES,SUBTANJALLA,ICA,ICA,-14.03059167,-75.75396333,418.0,Banda 1,0–2499 m s. n. m.
2762,FORTUNA,LABERINTO,TAMBOPATA,MADRE DE DIOS,-12.69966469,-69.63664434,203.0,Banda 1,0–2499 m s. n. m.
